x,z,ee
-50,-20,1.877430644
-50,-19.5,1.899228669
-50,-19,1.921183497
-50,-18.5,1.943270481
-50,-18,1.965463311
-50,-17.5,1.987734007
-50,-17,2.010052913
-50,-16.5,2.032388708
-50,-16,2.054708424
-50,-15.5,2.076977479
-50,-15,2.09915972
-50,-14.5,2.121217478
-50,-14,2.143111643
-50,-13.5,2.16480175
-50,-13,2.186246078
-50,-12.5,2.207401769
-50,-12,2.228224961
-50,-11.5,2.248670937
-50,-11,2.26869429
-50,-10.5,2.288249098
-50,-10,2.307289123
-50,-9.5,2.325768015
-50,-9,2.343639527
-50,-8.5,2.36085775
-50,-8,2.377377346
-50,-7.5,2.393153796
-50,-7,2.408143643
-50,-6.5,2.422304751
-50,-6,2.435596551
-50,-5.5,2.44798029
-50,-5,2.459419278
-50,-4.5,2.46987912
-50,-4,2.479327941
-50,-3.5,2.487736602
-50,-3,2.495078894
-50,-2.5,2.501331718
-50,-2,2.506475247
-50,-1.5,2.510493064
-50,-1,2.513372277
-50,-0.5,2.515103609
-50,0,2.51568147
-50,0.5,2.51510399
-50,1,2.513373036
-50,1.5,2.5104942
-50,2,2.506476755
-50,2.5,2.501333592
-50,3,2.495081128
-50,3.5,2.487739188
-50,4,2.47933087
-50,4.5,2.469882382
-50,5,2.459422862
-50,5.5,2.447984183
-50,6,2.43560074
-50,6.5,2.422309223
-50,7,2.408148383
-50,7.5,2.393158789
-50,8,2.377382579
-50,8.5,2.360863205
-50,9,2.343645189
-50,9.5,2.325773868
-50,10,2.307295151
-50,10.5,2.288255285
-50,11,2.268700619
-50,11.5,2.248677394
-50,12,2.22823153
-50,12.5,2.207408435
-50,13,2.186252826
-50,13.5,2.164808567
-50,14,2.143118514
-50,14.5,2.121224389
-50,15,2.099166659
-50,15.5,2.076984434
-50,16,2.054715383
-50,16.5,2.032395659
-50,17,2.010059847
-50,17.5,1.987740914
-50,18,1.965470181
-50,18.5,1.943277305
-50,19,1.921190269
-50,19.5,1.89923538
-50,20,1.877437287
-49.5,-20,1.907042245
-49.5,-19.5,1.929932663
-49.5,-19,1.953001631
-49.5,-18.5,1.976223485
-49.5,-18,1.999570755
-49.5,-17.5,2.023014143
-49.5,-17,2.046522517
-49.5,-16.5,2.070062914
-49.5,-16,2.093600557
-49.5,-15.5,2.117098879
-49.5,-15,2.140519566
-49.5,-14.5,2.163822615
-49.5,-14,2.186966404
-49.5,-13.5,2.209907784
-49.5,-13,2.232602181
-49.5,-12.5,2.255003723
-49.5,-12,2.277065379
-49.5,-11.5,2.298739119
-49.5,-11,2.319976092
-49.5,-10.5,2.340726819
-49.5,-10,2.360941401
-49.5,-9.5,2.380569751
-49.5,-9,2.399561826
-49.5,-8.5,2.417867884
-49.5,-8,2.435438745
-49.5,-7.5,2.452226058
-49.5,-7,2.468182583
-49.5,-6.5,2.483262467
-49.5,-6,2.497421523
-49.5,-5.5,2.510617507
-49.5,-5,2.522810393
-49.5,-4.5,2.533962632
-49.5,-4,2.544039407
-49.5,-3.5,2.553008868
-49.5,-3,2.560842358
-49.5,-2.5,2.567514608
-49.5,-2,2.573003919
-49.5,-1.5,2.57729232
-49.5,-1,2.580365694
-49.5,-0.5,2.582213885
-49.5,0,2.582830766
-49.5,0.5,2.582214293
-49.5,1,2.580366509
-49.5,1.5,2.577293538
-49.5,2,2.573005536
-49.5,2.5,2.567516617
-49.5,3,2.560844753
-49.5,3.5,2.55301164
-49.5,4,2.544042544
-49.5,4.5,2.533966125
-49.5,5,2.522814229
-49.5,5.5,2.510621673
-49.5,6,2.497426004
-49.5,6.5,2.483267249
-49.5,7,2.46818765
-49.5,7.5,2.452231393
-49.5,8,2.435444331
-49.5,8.5,2.417873706
-49.5,9,2.399567865
-49.5,9.5,2.380575991
-49.5,10,2.360947824
-49.5,10.5,2.340733406
-49.5,11,2.319982828
-49.5,11.5,2.298745986
-49.5,12,2.27707236
-49.5,12.5,2.255010803
-49.5,13,2.232609344
-49.5,13.5,2.209915014
-49.5,14,2.186973686
-49.5,14.5,2.163829935
-49.5,15,2.140526911
-49.5,15.5,2.117106236
-49.5,16,2.093607913
-49.5,16.5,2.070070258
-49.5,17,2.046529836
-49.5,17.5,2.023021429
-49.5,18,1.999577997
-49.5,18.5,1.976230675
-49.5,19,1.95300876
-49.5,19.5,1.929939723
-49.5,20,1.907049229
-49,-20,1.937669448
-49,-19.5,1.961709388
-49,-19,1.985951873
-49,-18.5,2.010370223
-49,-18,2.03493579
-49,-17.5,2.059617931
-49,-17,2.084383993
-49,-16.5,2.109199314
-49,-16,2.134027227
-49,-15.5,2.158829085
-49,-15,2.183564301
-49,-14.5,2.208190401
-49,-14,2.232663097
-49,-13.5,2.256936377
-49,-13,2.280962615
-49,-12.5,2.304692704
-49,-12,2.328076199
-49,-11.5,2.351061496
-49,-11,2.373596013
-49,-10.5,2.39562641
-49,-10,2.417098807
-49,-9.5,2.437959041
-49,-9,2.458152923
-49,-8.5,2.477626515
-49,-8,2.496326422
-49,-7.5,2.514200093
-49,-7,2.531196122
-49,-6.5,2.547264562
-49,-6,2.562357239
-49,-5.5,2.576428057
-49,-5,2.589433303
-49,-4.5,2.601331944
-49,-4,2.612085904
-49,-3.5,2.621660336
-49,-3,2.630023867
-49,-2.5,2.637148822
-49,-2,2.643011431
-49,-1.5,2.647591996
-49,-1,2.650875045
-49,-0.5,2.65284944
-49,0,2.653508466
-49,0.5,2.652849878
-49,1,2.650875919
-49,1.5,2.647593303
-49,2,2.643013165
-49,2.5,2.637150978
-49,3,2.630026435
-49,3.5,2.621663308
-49,4,2.612089268
-49,4.5,2.601335687
-49,5,2.589437413
-49,5.5,2.576432519
-49,6,2.562362037
-49,6.5,2.547269679
-49,7,2.53120154
-49,7.5,2.514205796
-49,8,2.496332392
-49,8.5,2.477632732
-49,9,2.458159368
-49,9.5,2.437965697
-49,10,2.417105653
-49,10.5,2.395633428
-49,11,2.373603185
-49,11.5,2.351068802
-49,12,2.328083623
-49,12.5,2.304700227
-49,13,2.280970221
-49,13.5,2.256944048
-49,14,2.232670819
-49,14.5,2.208198158
-49,15,2.183572078
-49,15.5,2.158836869
-49,16,2.134035004
-49,16.5,2.109207073
-49,17,2.084391722
-49,17.5,2.059625618
-49,18,2.034943426
-49,18.5,2.010377798
-49,19,1.985959378
-49,19.5,1.961716816
-49,20,1.937676791
-48.5,-20,1.969339535
-48.5,-19.5,1.99458906
-48.5,-19,2.020067596
-48.5,-18.5,2.045747448
-48.5,-18,2.07159878
-48.5,-17.5,2.097589582
-48.5,-17,2.123685644
-48.5,-16.5,2.149850544
-48.5,-16,2.176045653
-48.5,-15.5,2.202230148
-48.5,-15,2.228361052
-48.5,-14.5,2.254393279
-48.5,-14,2.280279712
-48.5,-13.5,2.305971289
-48.5,-13,2.331417123
-48.5,-12.5,2.35656463
-48.5,-12,2.381359694
-48.5,-11.5,2.405746845
-48.5,-11,2.429669466
-48.5,-10.5,2.453070019
-48.5,-10,2.475890294
-48.5,-9.5,2.49807168
-48.5,-9,2.519555453
-48.5,-8.5,2.54028308
-48.5,-8,2.560196541
-48.5,-7.5,2.579238663
-48.5,-7,2.597353457
-48.5,-6.5,2.614486466
-48.5,-6,2.63058511
-48.5,-5.5,2.645599038
-48.5,-5,2.65948046
-48.5,-4.5,2.672184484
-48.5,-4,2.683669426
-48.5,-3.5,2.693897115
-48.5,-3,2.702833167
-48.5,-2.5,2.710447238
-48.5,-2,2.716713254
-48.5,-1.5,2.721609605
-48.5,-1,2.725119309
-48.5,-0.5,2.727230142
-48.5,0,2.727934731
-48.5,0.5,2.727230613
-48.5,1,2.725120248
-48.5,1.5,2.721611009
-48.5,2,2.716715117
-48.5,2.5,2.710449553
-48.5,3,2.702835925
-48.5,3.5,2.693900305
-48.5,4,2.683673036
-48.5,4.5,2.6721885
-48.5,5,2.659484867
-48.5,5.5,2.64560382
-48.5,6,2.63059025
-48.5,6.5,2.614491945
-48.5,7,2.597359258
-48.5,7.5,2.579244765
-48.5,8,2.560202924
-48.5,8.5,2.540289723
-48.5,9,2.519562337
-48.5,9.5,2.498078784
-48.5,10,2.475897597
-48.5,10.5,2.4530775
-48.5,11,2.429677105
-48.5,11.5,2.405754623
-48.5,12,2.38136759
-48.5,12.5,2.356572627
-48.5,13,2.331425202
-48.5,13.5,2.305979433
-48.5,14,2.280287902
-48.5,14.5,2.2544015
-48.5,15,2.228369289
-48.5,15.5,2.202238386
-48.5,16,2.176053878
-48.5,16.5,2.149858744
-48.5,17,2.123693805
-48.5,17.5,2.097597694
-48.5,18,2.071606832
-48.5,18.5,2.045755429
-48.5,19,2.020075499
-48.5,19.5,1.994596876
-48.5,20,1.969347256
-48,-20,2.002079591
-48,-19.5,2.028601833
-48,-19,2.055382253
-48,-18.5,2.082392158
-48,-18,2.109600526
-48,-17.5,2.136973963
-48,-17,2.164476668
-48,-16.5,2.192070409
-48,-16,2.21971452
-48,-15.5,2.247365912
-48,-15,2.274979094
-48,-14.5,2.30250623
-48,-14,2.329897201
-48,-13.5,2.3570997
-48,-13,2.384059348
-48,-12.5,2.410719837
-48,-12,2.437023095
-48,-11.5,2.462909477
-48,-11,2.488317993
-48,-10.5,2.513186547
-48,-10,2.537452208
-48,-9.5,2.56105151
-48,-9,2.583920765
-48,-8.5,2.605996403
-48,-8,2.627215324
-48,-7.5,2.647515266
-48,-7,2.66683519
-48,-6.5,2.685115657
-48,-6,2.702299224
-48,-5.5,2.718330828
-48,-5,2.733158167
-48,-4.5,2.74673207
-48,-4,2.759006852
-48,-3.5,2.769940651
-48,-3,2.779495738
-48,-2.5,2.787638806
-48,-2,2.794341221
-48,-1.5,2.799579244
-48,-1,2.803334217
-48,-0.5,2.805592706
-48,0,2.806346607
-48,0.5,2.805593212
-48,1,2.803335227
-48,1.5,2.799580754
-48,2,2.794343224
-48,2.5,2.787641294
-48,3,2.779498702
-48,3.5,2.769944078
-48,4,2.759010729
-48,4.5,2.746736382
-48,5,2.733162897
-48,5.5,2.718335958
-48,6,2.702304735
-48,6.5,2.685121529
-48,7,2.666841403
-48,7.5,2.647521799
-48,8,2.627222153
-48,8.5,2.606003507
-48,9,2.583928122
-48,9.5,2.561059096
-48,10,2.537460001
-48,10.5,2.513194525
-48,11,2.488326135
-48,11.5,2.462917761
-48,12,2.437031499
-48,12.5,2.410728342
-48,13,2.384067934
-48,13.5,2.357108347
-48,14,2.329905891
-48,14.5,2.302514947
-48,15,2.274987821
-48,15.5,2.247374633
-48,16,2.219723221
-48,16.5,2.192079075
-48,17,2.164485288
-48,17.5,2.136982525
-48,18,2.109609018
-48,18.5,2.082400569
-48,19,2.055390575
-48,19.5,2.028610057
-48,20,2.002087709
-47.5,-20,2.035916376
-47.5,-19.5,2.063777658
-47.5,-19,2.091929249
-47.5,-18.5,2.12034148
-47.5,-18,2.148982155
-47.5,-17.5,2.177816489
-47.5,-17,2.206807064
-47.5,-16.5,2.235913796
-47.5,-16,2.265093915
-47.5,-15.5,2.294301969
-47.5,-15,2.32348984
-47.5,-14.5,2.352606789
-47.5,-14,2.381599523
-47.5,-13.5,2.410412282
-47.5,-13,2.438986959
-47.5,-12.5,2.467263248
-47.5,-12,2.495178816
-47.5,-11.5,2.522669513
-47.5,-11,2.549669606
-47.5,-10.5,2.576112043
-47.5,-10,2.60192875
-47.5,-9.5,2.627050955
-47.5,-9,2.651409534
-47.5,-8.5,2.674935385
-47.5,-8,2.697559821
-47.5,-7.5,2.719214977
-47.5,-7,2.739834237
-47.5,-6.5,2.759352661
-47.5,-6,2.777707422
-47.5,-5.5,2.794838238
-47.5,-5,2.810687803
-47.5,-4.5,2.825202197
-47.5,-4,2.838331291
-47.5,-3.5,2.850029121
-47.5,-3,2.860254242
-47.5,-2.5,2.868970047
-47.5,-2,2.876145053
-47.5,-1.5,2.881753154
-47.5,-1,2.885773824
-47.5,-0.5,2.88819228
-47.5,0,2.888999608
-47.5,0.5,2.888192825
-47.5,1,2.885774911
-47.5,1.5,2.881754779
-47.5,2,2.876147209
-47.5,2.5,2.868972724
-47.5,3,2.86025743
-47.5,3.5,2.850032807
-47.5,4,2.838335459
-47.5,4.5,2.82520683
-47.5,5,2.810692883
